Aa,Ad,Ba,Bd,s1,s2,p
0,1,3,1,2,2,0.0628965985910205
0,1,3,1,2,3,0.05561805328629972
0,1,3,1,3,0,0.013300200022758902
0,1,3,1,3,1,0.0260419343440248
0,1,3,1,3,2,0.028373695393329863
0,1,3,1,3,3,0.012028813658350375
0,1,3,2,0,0,0.07720094637563517
0,1,3,2,0,1,0.11917177417355593
0,1,3,2,0,2,0.10465028185208405
0,1,3,2,0,3,0.09963269051180525
0,1,3,2,1,0,0.06238154298469058
0,1,3,2,1,1,0.11730332997727061
0,1,3,2,1,2,0.10441798490628797
0,1,3,2,1,3,0.09401240490586155
0,1,3,2,2,0,0.023559089762423897
0,1,3,2,2,1,0.04948782771869154
0,1,3,2,2,2,0.05005104465351318
0,1,3,2,2,3,0.049802056906159596
0,1,3,2,3,0,0.007697865616585461
0,1,3,2,3,1,0.015598647423436507
0,1,3,2,3,2,0.01717420196431055
0,1,3,2,3,3,0.007858310267688146
0,1,3,3,0,0,0.08322916048668115
0,1,3,3,0,1,0.13862268941585312
0,1,3,3,0,2,0.12385371103016776
0,1,3,3,0,3,0.12695096523180674
0,1,3,3,1,0,0.05359869622992459
0,1,3,3,1,1,0.10862137348200421
0,1,3,3,1,2,0.09896200584610605
0,1,3,3,1,3,0.10269318572239079
0,1,3,3,2,0,0.017601975240446655
0,1,3,3,2,1,0.036599854076146014
0,1,3,3,2,2,0.03825874212509768
0,1,3,3,2,3,0.04283614012956105
0,1,3,3,3,0,0.004279706951194591
0,1,3,3,3,1,0.008974953311958354
0,1,3,3,3,2,0.0099854762619919
0,1,3,3,3,3,0.004931364458669316
0,2,0,0,0,0,0.1237795022687428
0,2,0,0,0,1,0.060808773665732126
0,2,0,0,0,2,0.02280363900507765
0,2,0,0,0,3,0.0051044879235541945
0,2,0,0,1,0,0.18048278696754202
0,2,0,0,1,1,0.12609706983364247
0,2,0,0,1,2,0.047180188437916985
0,2,0,0,1,3,0.008728123752580804
0,2,0,0,2,0,0.1193319701244971
0,2,0,0,2,1,0.10002582328540367
0,2,0,0,2,2,0.03555538227374886
0,2,0,0,2,3,0.006811232201045181
0,2,0,0,3,0,0.07152487828356367
0,2,0,0,3,1,0.062295446930424096
0,2,0,0,3,2,0.025914110044832878
0,2,0,0,3,3,0.0035565850016955037
0,2,0,1,0,0,0.15647215269787618
0,2,0,1,0,1,0.08293972596191537
0,2,0,1,0,2,0.031645226936049875
0,2,0,1,0,3,0.007626438374582631
0,2,0,1,1,0,0.18183159041948996
0,2,0,1,1,1,0.13691321842720666
0,2,0,1,1,2,0.052431017796461796
0,2,0,1,1,3,0.011179253266622438
0,2,0,1,2,0,0.10454304493618724
0,2,0,1,2,1,0.08674182064140484
0,2,0,1,2,2,0.03186825831218154
0,2,0,1,2,3,0.006869484882015574
0,2,0,1,3,0,0.04662687076923564
0,2,0,1,3,1,0.04202783299670844
0,2,0,1,3,2,0.017667046501179527
0,2,0,1,3,3,0.0026170170808824168
0,2,0,2,0,0,0.18915743126617288
0,2,0,2,0,1,0.10818248965905701
0,2,0,2,0,2,0.04199622911523939
0,2,0,2,0,3,0.010896558998431335
0,2,0,2,1,0,0.17518661084628145
0,2,0,2,1,1,0.14216208653117063
0,2,0,2,1,2,0.055720490439908205
0,2,0,2,1,3,0.013693129640395478
0,2,0,2,2,0,0.08758535701064298
0,2,0,2,2,1,0.07193544870553033
0,2,0,2,2,2,0.027315511029765056
0,2,0,2,2,3,0.006625530886745449
0,2,0,2,3,0,0.0290678852632735
0,2,0,2,3,1,0.027115381210672758
0,2,0,2,3,2,0.011518333008514176
0,2,0,2,3,3,0.0018415263881991911
0,2,0,3,0,0,0.21972221362841468
0,2,0,3,0,1,0.13558622068799928
0,2,0,3,0,2,0.0535521098836277
0,2,0,3,0,3,0.014959641699334978
0,2,0,3,1,0,0.1621797744747397
0,2,0,3,1,1,0.14183597757882713
0,2,0,3,1,2,0.0568991501924476
0,2,0,3,1,3,0.01611598491989769
0,2,0,3,2,0,0.07050697327121548
0,2,0,3,2,1,0.05732203345013346
0,2,0,3,2,2,0.02249699640087654
0,2,0,3,2,3,0.0061401842244960085
0,2,0,3,3,0,0.017412246727315225
0,2,0,3,3,1,0.01680964876127601
0,2,0,3,3,2,0.007215717406680345
0,2,0,3,3,3,0.001245126692718113
0,2,1,0,0,0,0.10894350276389442
0,2,1,0,0,1,0.06931577992325211
0,2,1,0,0,2,0.03236137244886371
0,2,1,0,0,3,0.010102083666942251
0,2,1,0,1,0,0.15467750494296018
0,2,1,0,1,1,0.13410448397157093
0,2,1,0,1,2,0.06221032541129186
0,2,1,0,1,3,0.016119555748376056
0,2,1,0,2,0,0.09403494760807234
0,2,1,0,2,1,0.10064571915426096
0,2,1,0,2,2,0.04673200438836834
0,2,1,0,2,3,0.012912765604361026
0,2,1,0,3,0,0.057867155491083
0,2,1,0,3,1,0.06174409027922333
0,2,1,0,3,2,0.032559317925360265
0,2,1,0,3,3,0.005669390672119323
0,2,1,1,0,0,0.13584281588257613
0,2,1,1,0,1,0.09325572022546805
0,2,1,1,0,2,0.04429737633015693
0,2,1,1,0,3,0.014887698362647929
0,2,1,1,1,0,0.1537119818505694
0,2,1,1,1,1,0.1436252175158037
0,2,1,1,1,2,0.06819273447242596
0,2,1,1,1,3,0.02036535494866542
0,2,1,1,2,0,0.08125959188641554
0,2,1,1,2,1,0.08609119210462877
0,2,1,1,2,2,0.041315632006579874
0,2,1,1,2,3,0.012845906868262234
0,2,1,1,3,0,0.037209881990367705
0,2,1,1,3,1,0.041088766470771615
0,2,1,1,3,2,0.02189525296898972
0,2,1,1,3,3,0.004114876115670964
0,2,1,2,0,0,0.16183790911673132
0,2,1,2,0,1,0.11987457750048167
0,2,1,2,0,2,0.057934507511813754
0,2,1,2,0,3,0.02096295024641472
0,2,1,2,1,0,0.14594745584030386
0,2,1,2,1,1,0.1469692040294037
0,2,1,2,1,2,0.07142035109435431
0,2,1,2,1,3,0.024583241165220836
0,2,1,2,2,0,0.06709161239658197
0,2,1,2,2,1,0.07036073673524071
0,2,1,2,2,2,0.03489977563015005
0,2,1,2,2,3,0.012210080102608318
0,2,1,2,3,0,0.02286086679673535
0,2,1,2,3,1,0.026125165677463393
0,2,1,2,3,2,0.01406801681067229
0,2,1,2,3,3,0.002853549345823758
0,2,1,3,0,0,0.18516281564626158
0,2,1,3,0,1,0.14798191133009983
0,2,1,3,0,2,0.0727656760273305
0,2,1,3,0,3,0.028347004980304867
0,2,1,3,1,0,0.1330807590655059
0,2,1,3,1,1,0.1444281733787242
0,2,1,3,1,2,0.07183494934607036
0,2,1,3,1,3,0.028498121478644986
0,2,1,3,2,0,0.05319756521787292
0,2,1,3,2,1,0.05522452242384066
0,2,1,3,2,2,0.02831136462525495
0,2,1,3,2,3,0.011145567617487518
0,2,1,3,3,0,0.013488294123458708
0,2,1,3,3,1,0.0159523598204016
0,2,1,3,3,2,0.008680519637225395
0,2,1,3,3,3,0.0019003952815160447
0,2,2,0,0,0,0.09157872593148672
0,2,2,0,0,1,0.07546379527049221
0,2,2,0,0,2,0.04386219550024699
0,2,2,0,0,3,0.019094592805000424
0,2,2,0,1,0,0.12660742828809007
0,2,2,0,1,1,0.13621416226937766
0,2,2,0,1,2,0.07834403489469775
0,2,2,0,1,3,0.028433210596936702
0,2,2,0,2,0,0.07077215549934475
0,2,2,0,2,1,0.09672063522384022
0,2,2,0,2,2,0.0586629805997153
0,2,2,0,2,3,0.023380484646110537
0,2,2,0,3,0,0.0447144406180635
0,2,2,0,3,1,0.05844873906698317
0,2,2,0,3,2,0.039071038792643085
0,2,2,0,3,3,0.008631379996970974
0,2,2,1,0,0,0.11232574436161191
0,2,2,1,0,1,0.09986915534964678
